customer_id,signup_date,age,location,customer_segment,subscription_plan,monthly_spend,total_spend,acquisition_channel,payment_method,subscription_start_date,renewal_date,tenure_months,plan_changes,upgrades,downgrades,last_login_date,login_frequency,days_since_last_login,sessions_last_30_days,average_session_duration,feature_usage_count,key_feature_usage,activity_change_pct,support_tickets,unresolved_tickets,complaints,failed_payments,churned,churn_date,churn_reason_category,signup_year_month,is_high_value,is_early_stage,has_support_friction,has_billing_issue,has_inactivity_warning,score_inactivity,score_engagement_velocity,score_operational_friction,score_feature_adoption,churn_risk_score,risk_tier,primary_risk_driver,strategic_segment
CUST-10000,2024-06-17,34,Europe,Startup/Individual,Basic,29.0,522.0,Organic Search,Credit Card,2024-06-17,2025-06-17,18,0,0,0,2025-12-30,Occasional (1-2x/wk),1,4,18.4,11,0,48.5,2,0,0,0,0,,Active / Retained,2024-06,0,0,0,0,0,0.0,2.5,0.0,12.0,14.5,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10001,2025-02-08,34,Asia Pacific,SMB,Basic,29.0,290.0,Organic Search,ACH / Bank Transfer,2025-02-08,2026-02-08,10,0,0,0,2025-12-21,Occasional (1-2x/wk),10,38,19.2,11,1,-10.6,1,0,0,0,0,,Active / Retained,2025-02,0,0,0,0,0,15.6,2.65,0.0,0.0,18.2,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10002,2024-11-01,55,North America,SMB,Basic,29.0,377.0,Paid Ads,Credit Card,2024-11-01,2025-11-01,13,0,0,0,2025-11-03,Dormant (30+ days),58,8,5.2,3,0,-79.8,1,0,0,0,1,2025-06-02,Competitor Migration / Natural Attrition,2024-11,0,0,0,0,1,25.0,22.45,0.0,17.0,64.4,High Risk,Severe Inactivity,Churned Customer
CUST-10003,2025-06-20,25,Middle East & Africa,Enterprise,Enterprise,249.0,1494.0,Content / Webinar,ACH / Bank Transfer,2025-06-20,2026-06-20,6,0,0,0,2025-12-31,Weekly (3-5x/wk),0,17,35.1,9,1,-5.5,0,0,0,0,0,,Active / Retained,2025-06,1,0,0,0,0,0.0,1.375,0.0,0.0,1.4,Low Risk,Healthy Customer / No Major Risk,Champions
CUST-10004,2024-04-19,52,North America,Enterprise,Enterprise,249.0,4980.0,Organic Search,Invoicing,2024-04-19,2025-04-19,20,1,1,0,2025-12-26,Weekly (3-5x/wk),5,26,26.1,11,1,11.5,1,0,0,0,0,,Active / Retained,2024-04,1,0,0,0,0,9.0,0.0,0.0,0.0,9.0,Low Risk,Healthy Customer / No Major Risk,Champions
CUST-10005,2025-07-02,27,North America,Mid-Market,Pro,79.0,395.0,Referral,Credit Card,2025-07-02,2026-07-02,5,0,0,0,2025-12-26,Weekly (3-5x/wk),5,49,29.3,9,1,-8.8,4,1,0,0,0,,Active / Retained,2025-07,0,0,1,0,0,9.0,2.2,4.0,0.0,15.2,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10006,2025-05-31,56,North America,Enterprise,Enterprise,249.0,1743.0,Paid Ads,Invoicing,2025-05-31,2026-05-31,7,0,0,0,2025-12-30,Occasional (1-2x/wk),1,8,28.3,4,0,14.8,2,0,0,0,0,,Active / Retained,2025-05,1,0,0,0,0,0.0,2.5,0.0,17.0,19.5,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10007,2024-04-01,53,Middle East & Africa,SMB,Pro,79.0,1580.0,Paid Ads,Credit Card,2024-04-01,2025-04-01,20,0,0,0,2025-12-30,Daily,1,29,11.1,5,0,17.0,1,0,0,0,0,,Active / Retained,2024-04,0,0,0,0,0,0.0,0.0,0.0,14.5,14.5,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10008,2025-02-04,49,Middle East & Africa,SMB,Basic,29.0,290.0,Partner Affiliate,Credit Card,2025-02-04,2026-02-04,10,0,0,0,2025-12-31,Daily,0,30,34.5,7,1,-0.9,1,0,0,0,0,,Active / Retained,2025-02,0,0,0,0,0,0.0,0.225,0.0,2.5,2.7,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10009,2025-05-04,53,Asia Pacific,SMB,Basic,29.0,203.0,Paid Ads,PayPal,2025-05-04,2026-05-04,7,0,0,0,2025-11-09,Dormant (30+ days),52,4,12.6,5,0,-72.6,1,0,0,2,1,2025-07-03,Involuntary Billing / Payment Failure,2025-05,0,0,0,1,1,25.0,20.65,12.0,14.5,72.2,High Risk,Severe Inactivity,Churned Customer
CUST-10010,2025-10-25,57,Europe,Mid-Market,Pro,79.0,158.0,Paid Ads,Credit Card,2025-10-25,2026-10-25,2,0,0,0,2025-12-30,Daily,1,47,24.8,9,1,10.3,2,0,0,3,0,,Active / Retained,2025-10,0,1,0,1,0,0.0,0.0,12.0,0.0,12.0,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10011,2024-09-30,22,Europe,SMB,Basic,29.0,435.0,Partner Affiliate,Credit Card,2024-09-30,2025-09-30,15,0,0,0,2025-12-17,Occasional (1-2x/wk),14,34,26.8,5,0,12.0,1,0,0,0,0,,Active / Retained,2024-09,0,0,0,0,1,20.4,0.0,0.0,14.5,34.9,Medium Risk,Severe Inactivity,Loyal Customers
CUST-10012,2025-10-19,31,Middle East & Africa,Mid-Market,Pro,79.0,158.0,Organic Search,Credit Card,2025-10-19,2026-10-19,2,0,0,0,2025-11-26,Dormant (30+ days),35,1,8.4,8,0,-40.6,3,0,0,0,1,2025-11-18,Onboarding Dropoff & Low Feature Adoption,2025-10,0,1,0,0,1,25.0,15.15,0.0,14.5,54.6,Medium Risk,Severe Inactivity,Churned Customer
CUST-10013,2025-06-16,21,Europe,Mid-Market,Pro,79.0,474.0,Organic Search,ACH / Bank Transfer,2025-06-16,2026-06-16,6,0,0,0,2025-12-27,Occasional (1-2x/wk),4,11,6.0,16,1,-4.9,2,0,0,0,0,,Active / Retained,2025-06,0,0,0,0,0,7.5,1.225,0.0,0.0,8.7,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10014,2025-04-21,63,Middle East & Africa,SMB,Basic,29.0,232.0,Referral,ACH / Bank Transfer,2025-04-21,2026-04-21,8,1,1,0,2025-12-24,Occasional (1-2x/wk),7,25,25.9,8,0,4.2,4,0,0,0,0,,Active / Retained,2025-04,0,0,0,0,0,12.0,0.0,0.0,14.5,26.5,Low Risk,Low Feature Adoption / Downgrade,Loyal Customers
CUST-10015,2025-03-06,29,North America,SMB,Pro,79.0,711.0,Direct Sales,PayPal,2025-03-06,2026-03-06,9,1,1,0,2025-12-29,Daily,2,26,11.3,12,1,45.5,1,0,0,0,0,,Active / Retained,2025-03,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10016,2025-10-02,50,North America,Startup/Individual,Pro,79.0,158.0,Organic Search,PayPal,2025-10-02,2026-10-02,2,0,0,0,2025-12-30,Daily,1,32,13.4,8,0,-2.9,0,0,0,0,0,,Active / Retained,2025-10,0,1,0,0,0,0.0,0.725,0.0,14.5,15.2,Low Risk,Healthy Customer / No Major Risk,New Customers At-Risk
CUST-10017,2025-09-01,58,Asia Pacific,Startup/Individual,Pro,79.0,237.0,Direct Sales,Credit Card,2025-09-01,2026-09-01,3,0,0,0,2025-12-24,Occasional (1-2x/wk),7,38,17.7,13,1,-7.1,0,0,0,0,0,,Active / Retained,2025-09,0,1,0,0,0,12.0,1.775,0.0,0.0,13.8,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10018,2025-01-01,25,North America,SMB,Basic,29.0,319.0,Paid Ads,Credit Card,2025-01-01,2026-01-01,11,0,0,0,2025-12-06,Rare (1-2x/mo),25,0,2.3,3,0,-81.8,4,2,0,0,1,2025-04-02,Support Friction & Unresolved Issues,2025-01,0,0,1,0,1,21.85,25.0,8.0,17.0,71.8,High Risk,Activity Dropoff,Churned Customer
CUST-10019,2025-06-23,46,Middle East & Africa,SMB,Pro,79.0,474.0,Content / Webinar,PayPal,2025-06-23,2026-06-23,6,0,0,0,2025-12-14,Rare (1-2x/mo),17,5,5.6,10,0,-42.8,4,3,1,0,1,2025-11-22,Support Friction & Unresolved Issues,2025-06,0,0,1,0,1,19.05,13.2,10.5,12.0,54.8,Medium Risk,Severe Inactivity,Churned Customer
CUST-10020,2025-04-16,37,Europe,Enterprise,Enterprise,249.0,1992.0,Organic Search,ACH / Bank Transfer,2025-04-16,2026-04-16,8,0,0,0,2025-12-27,Weekly (3-5x/wk),4,42,23.7,13,0,-5.2,2,0,0,0,0,,Active / Retained,2025-04,1,0,0,0,0,7.5,1.3,0.0,12.0,20.8,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10021,2024-09-09,56,Latin America,Enterprise,Enterprise,249.0,3735.0,Referral,Invoicing,2024-09-09,2025-09-09,15,0,0,0,2025-12-21,Occasional (1-2x/wk),10,39,27.4,12,0,2.4,3,0,0,0,0,,Active / Retained,2024-09,1,0,0,0,0,15.6,0.0,0.0,12.0,27.6,Low Risk,Severe Inactivity,Loyal Customers
CUST-10022,2025-09-26,61,North America,Startup/Individual,Basic,29.0,87.0,Direct Sales,Credit Card,2025-09-26,2026-09-26,3,0,0,0,2025-12-31,Daily,0,29,41.4,9,1,7.7,3,0,0,0,0,,Active / Retained,2025-09,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10023,2024-10-23,51,Asia Pacific,Mid-Market,Pro,79.0,1106.0,Paid Ads,Credit Card,2024-10-23,2025-10-23,14,1,0,1,2025-11-13,Dormant (30+ days),48,3,11.4,3,0,-39.9,1,0,0,0,1,2025-04-23,Plan Downgrade / Low Perceived ROI,2024-10,0,0,0,0,1,25.0,14.975,0.0,25.0,65.0,High Risk,Severe Inactivity,Churned Customer
CUST-10024,2025-06-21,39,Europe,Mid-Market,Pro,79.0,474.0,Referral,ACH / Bank Transfer,2025-06-21,2026-06-21,6,0,0,0,2025-12-23,Occasional (1-2x/wk),8,27,28.8,10,1,19.2,1,0,0,0,0,,Active / Retained,2025-06,0,0,0,0,0,13.2,0.0,0.0,0.0,13.2,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10025,2025-10-02,44,Europe,Mid-Market,Enterprise,249.0,498.0,Partner Affiliate,Invoicing,2025-10-02,2026-10-02,2,0,0,0,2025-12-31,Daily,0,30,17.8,2,0,-20.4,3,0,0,0,0,,Active / Retained,2025-10,1,1,0,0,0,0.0,5.1,0.0,17.0,22.1,Low Risk,Healthy Customer / No Major Risk,New Customers At-Risk
CUST-10026,2024-07-21,49,Europe,Mid-Market,Enterprise,249.0,4233.0,Organic Search,Credit Card,2024-07-21,2025-07-21,17,0,0,0,2025-10-02,Dormant (30+ days),90,13,11.2,13,1,-76.2,1,0,0,0,1,2025-03-21,Competitor Migration / Natural Attrition,2024-07,1,0,0,0,1,25.0,19.05,0.0,0.0,44.0,Medium Risk,Severe Inactivity,Churned Customer
CUST-10027,2024-09-12,35,Middle East & Africa,SMB,Basic,29.0,435.0,Referral,Credit Card,2024-09-12,2025-09-12,15,0,0,0,2025-12-24,Occasional (1-2x/wk),7,34,35.6,7,1,8.9,3,0,0,0,0,,Active / Retained,2024-09,0,0,0,0,0,12.0,0.0,0.0,2.5,14.5,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10028,2025-09-15,35,Europe,Mid-Market,Enterprise,249.0,747.0,Organic Search,Credit Card,2025-09-15,2026-09-15,3,0,0,0,2025-12-29,Daily,2,33,20.6,20,1,-8.2,3,0,0,0,0,,Active / Retained,2025-09,1,1,0,0,0,0.0,2.05,0.0,0.0,2.0,Low Risk,Healthy Customer / No Major Risk,Champions
CUST-10029,2025-03-15,41,North America,SMB,Pro,79.0,711.0,Referral,ACH / Bank Transfer,2025-03-15,2026-03-15,9,0,0,0,2025-12-29,Daily,2,26,20.3,13,1,11.8,1,0,0,0,0,,Active / Retained,2025-03,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10030,2025-01-28,25,Latin America,Mid-Market,Pro,79.0,869.0,Content / Webinar,Credit Card,2025-01-28,2026-01-28,11,0,0,0,2025-12-31,Daily,0,28,25.7,18,1,15.1,1,0,0,0,0,,Active / Retained,2025-01,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10031,2024-10-03,30,North America,SMB,Basic,29.0,406.0,Content / Webinar,Credit Card,2024-10-03,2025-10-03,14,0,0,0,2025-12-29,Weekly (3-5x/wk),2,22,27.1,5,0,17.6,0,0,0,1,0,,Active / Retained,2024-10,0,0,0,1,0,0.0,0.0,6.0,14.5,20.5,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10032,2024-04-12,26,North America,SMB,Pro,79.0,1580.0,Direct Sales,Credit Card,2024-04-12,2025-04-12,20,1,1,0,2025-12-23,Occasional (1-2x/wk),8,34,26.4,14,0,6.6,1,0,0,1,0,,Active / Retained,2024-04,0,0,0,1,0,13.2,0.0,6.0,12.0,31.2,Medium Risk,Severe Inactivity,Loyal Customers
CUST-10033,2024-03-12,61,North America,SMB,Basic,29.0,609.0,Paid Ads,PayPal,2024-03-12,2025-03-12,21,0,0,0,2025-12-31,Daily,0,45,19.2,8,0,9.3,2,0,0,0,0,,Active / Retained,2024-03,0,0,0,0,0,0.0,0.0,0.0,14.5,14.5,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10034,2024-10-28,58,Latin America,SMB,Pro,79.0,1106.0,Direct Sales,Credit Card,2024-10-28,2025-10-28,14,0,0,0,2025-12-30,Daily,1,30,11.2,17,1,29.2,4,1,0,0,0,,Active / Retained,2024-10,0,0,1,0,0,0.0,0.0,4.0,0.0,4.0,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10035,2025-10-10,27,North America,Mid-Market,Pro,79.0,158.0,Organic Search,Credit Card,2025-10-10,2026-10-10,2,0,0,0,2025-12-31,Weekly (3-5x/wk),0,14,6.7,15,1,-4.1,3,0,0,0,0,,Active / Retained,2025-10,0,1,0,0,0,0.0,1.025,0.0,0.0,1.0,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10036,2025-06-25,43,North America,SMB,Pro,79.0,474.0,Content / Webinar,Credit Card,2025-06-25,2026-06-25,6,0,0,0,2025-12-30,Daily,1,36,27.7,4,0,6.6,1,0,0,0,0,,Active / Retained,2025-06,0,0,0,0,0,0.0,0.0,0.0,17.0,17.0,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10037,2025-04-13,38,Latin America,SMB,Pro,79.0,632.0,Organic Search,PayPal,2025-04-13,2026-04-13,8,0,0,0,2025-12-31,Weekly (3-5x/wk),0,14,27.4,12,1,-6.8,3,0,0,0,0,,Active / Retained,2025-04,0,0,0,0,0,0.0,1.7,0.0,0.0,1.7,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10038,2025-01-26,27,Asia Pacific,Startup/Individual,Basic,29.0,319.0,Organic Search,Credit Card,2025-01-26,2026-01-26,11,0,0,0,2025-12-03,Rare (1-2x/mo),28,8,12.8,5,0,-34.3,1,0,0,0,1,2025-11-26,Competitor Migration / Natural Attrition,2025-01,0,0,0,0,1,22.9,11.075,0.0,14.5,48.5,Medium Risk,Severe Inactivity,Churned Customer
CUST-10039,2024-07-16,36,North America,Mid-Market,Pro,79.0,1343.0,Direct Sales,Credit Card,2024-07-16,2025-07-16,17,0,0,0,2025-12-29,Daily,2,54,22.7,5,1,1.5,2,0,0,0,0,,Active / Retained,2024-07,0,0,0,0,0,0.0,0.0,0.0,2.5,2.5,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10040,2025-03-17,28,Asia Pacific,Enterprise,Enterprise,249.0,2241.0,Direct Sales,ACH / Bank Transfer,2025-03-17,2026-03-17,9,0,0,0,2025-12-25,Weekly (3-5x/wk),6,32,17.8,9,1,-6.5,0,0,0,0,0,,Active / Retained,2025-03,1,0,0,0,0,10.5,1.625,0.0,0.0,12.1,Low Risk,Healthy Customer / No Major Risk,Champions
